phone,count,mean_ms,std_ms,min_ms,p01_ms,p05_ms,p10_ms,p25_ms,p50_ms,p75_ms,p90_ms,p95_ms,p99_ms,max_ms,mean_frames_16ms,p05_frames_16ms,p50_frames_16ms,p95_frames_16ms,lt_1_frame_ratio,lt_2_frames_ratio,ge_10_frames_ratio
AA0,1076,53.24349442379182,33.13232740674152,29.99999999999936,29.99999999999936,29.999999999999805,29.999999999999805,30.00000000000003,40.000000000000036,69.99999999999984,100.00000000000004,120.00000000000011,172.49999999999997,280.0,3.327718401486989,1.8749999999999878,2.500000000000002,7.500000000000007,0.0,0.43866171003717475,0.016728624535315983
AA1,13930,123.05527638190955,47.862245076326055,9.999999999999787,30.00000000000025,49.99999999999982,69.9999999999994,89.99999999999986,120.0,150.00000000000003,180.0000000000006,209.99999999999997,260.0000000000002,439.99999999999994,7.690954773869347,3.124999999999989,7.5,13.124999999999998,7.178750897343863e-05,0.010768126346015794,0.20954773869346735
AA2,880,99.26136363636364,36.036911102047306,29.99999999999936,29.999999999999805,40.000000000000036,59.99999999999961,79.99999999999984,99.99999999999964,120.00000000000006,140.00000000000057,169.99999999999994,200.00000000000017,240.00000000000023,6.2038352272727275,2.500000000000002,6.249999999999978,10.624999999999996,0.0,0.031818181818181815,0.0625
AE0,288,84.61805555555556,37.84828935804426,29.99999999999936,29.99999999999936,30.00000000000003,30.00000000000025,59.99999999999961,84.99999999999974,109.99999999999955,129.9999999999999,146.49999999999991,211.29999999999993,240.00000000000023,5.288628472222222,1.8750000000000018,5.312499999999984,9.156249999999995,0.0,0.11458333333333333,0.03125
AE1,20257,108.26578466702868,57.03124942465397,20.000000000000004,29.999999999999915,40.00000000000001,49.99999999999982,60.00000000000006,99.99999999999987,140.00000000000057,180.0000000000006,219.99999999999974,270.00000000000045,480.0,6.766611541689293,2.5000000000000004,6.249999999999992,13.749999999999984,0.0,0.040776028039689986,0.1807276497013378
AE2,1008,115.23809523809524,35.73134513201694,29.99999999999936,30.00000000000003,50.000000000000014,70.00000000000028,99.99999999999964,110.00000000000031,130.0,160.00000000000014,179.99999999999972,210.00000000000003,269.99999999999994,7.2023809523809526,3.125000000000001,6.8750000000000195,11.249999999999982,0.0,0.028769841269841268,0.11210317460317461
AH0,73599,52.49555021128005,23.974714113885515,9.999999999999787,10.000000000000009,29.999999999999805,30.00000000000003,40.000000000000036,49.99999999999982,60.00000000000006,80.00000000000007,99.99999999999964,130.0000000000008,1080.0,3.280971888205003,1.8749999999999878,3.124999999999989,6.249999999999978,0.018342640525007132,0.16979850269704752,0.005122352205872363
AH1,12227,78.3397399198495,33.17881780778736,29.99999999999936,29.999999999999805,39.999999999999815,40.000000000000036,59.99999999999961,70.00000000000028,90.00000000000003,120.00000000000011,140.00000000000057,189.99999999999994,350.0000000000001,4.896233744990594,2.4999999999999885,4.375000000000018,8.750000000000036,0.0,0.04514598838635806,0.030751615277664186
AH2,306,82.09150326797385,27.03552721378139,29.999999999999805,30.500000000000195,49.99999999999982,50.00000000000027,60.00000000000006,80.00000000000007,99.99999999999964,120.00000000000011,140.00000000000009,160.00000000000014,169.99999999999997,5.1307189542483655,3.124999999999989,5.000000000000004,8.750000000000005,0.0,0.013071895424836602,0.016339869281045753
AO0,252,69.484126984127,42.30618441919408,29.99999999999936,29.99999999999936,29.999999999999805,29.99999999999997,30.00000000000025,60.00000000000006,89.99999999999997,129.9999999999999,154.50000000000009,200.0000000000001,250.0,4.342757936507938,1.8749999999999878,3.7500000000000036,9.656250000000005,0.0,0.2976190476190476,0.051587301587301584
